condition,hemi,x,mean,se
scram_pause,Right PMC,0,-0.14570030713912061,0.045605621501588603
scram_pause,Right PMC,1,-0.16290218646914548,0.049830476052251833
scram_pause,Right PMC,2,-0.04325433553073392,0.051506426350214587
scram_pause,Right PMC,3,0.090095082802911106,0.055350199251438595
scram_pause,Right PMC,4,0.15071492901665876,0.0507944750667738
scram_pause,Right PMC,5,0.095448582874419624,0.047149155555730064
scram_pause,Right PMC,6,0.05603109311978207,0.038624024185988495
scram_pause,Right PMC,7,0.0029743514751171367,0.040935325984214732
scram_pause,Right PMC,8,0.0095649700932422099,0.039696509546695506
scram_pause,Right PMC,9,-0.0044417714846349196,0.040199732591481338
scram_pause,Right PMC,10,0.029410006510681444,0.035522876592239898
scram_pause,Right PMC,11,0.050440417793589452,0.042576361551453577
scram_pause,Right PMC,12,0.075038845973129376,0.039995296576096261
scram_pause,Right PMC,13,0.093318300871709919,0.032331295488214361
scram_pause,Right PMC,14,0.07838617921523082,0.042529303603368929
scram_pause,Right PMC,15,0.079082397398097623,0.046647874923286925
scram_pause,Right PMC,16,0.10860057878240603,0.05283209268974258
scram_pause,Right PMC,17,0.17980787326525458,0.055869340553397283
scram_pause,Right PMC,18,0.27026817581613544,0.04766144488013755
scram_pause,Right PMC,19,0.30074998245745604,0.061760377557276799
scram_pause,Right PMC,20,0.3273027876671592,0.064746307637182851
